Name,"RA (J2000, deg)","Dec (J2000, deg)",objType,Ref,z,zType,zRef,Targeted,N_Observaciones
HSCJ0905+0300,136.4360417,3.0163611,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.27,S1L,2018PASJ...70S..35M,True,4
HSC J1146+0124,176.70175,1.4055834,QSO type1-BL,Millquas,6.27,S1L,2022MNRAS.517.1264L,True,29
HSC J152555.79+430324.0,231.4824584,43.0566667,QSO type1-BL,Millquas,6.27,SLS,2019ApJ...883..183M,True,29
HSC J0905+0300,136.4360417,3.0163334,QSO type1-BL,Millquas,6.27,S1L,2018PASJ...70S..35M,True,5
PSO J215.4303+26.5325,215.430375,26.5325389,QSO type1-BL,Millquas,6.28,SUN,2023ApJS..265...29B,True,4
SDSS J10487+4637,162.1877429,46.6217708,QSO type1-BL,Millquas,6.287065,SLS,2016SDSSD.C...0000:,True,1
ULAS J1148+0702,177.0136783,7.0356163,QSO type1-BL,Millquas,6.29,S,2015in pr...1....1W,True,4
HSC J1146-0005,176.745375,-0.0938056,QSO type1-BL,Millquas,6.3,S1L,2022MNRAS.517.1264L,True,29
DESI J152556.47+385040.2,231.48529,38.84452,QSO type1-BL,Millquas,6.3,SUN,2023ApJS..269...27Y,True,4
SDSS J010013.02+280225.8,15.05425,28.0405,QSO type1-BL-R-X,Millquas,6.301,S,2015Natur.518..512X,True,786
SDSSp J103027.10-052455.0,157.6129167,5.41525,QSO type1-BL-X,Millquas,6.308,S1L,2018ApJ...867..153C,True,1304
J1030+0524,157.6128792,5.4153056,Quasars,eJWST,6.308,S1L,2018ApJ...867..153C,True,87
ATLAS J025.6821-33.4627,25.682166,-33.462648,QSO type1-BL-X,Millquas,6.31,S,2015MNRAS.451...16C,True,1
J0100+2802,15.0542333,28.0405,Quasars,eJWST,6.3269,S1L,2022ApJ...941..106F,True,40
HSC J1406-0116,211.6213334,-1.2697778,QSO type1-BL,Millquas,6.33,S,2018ApJS..237....5M,True,4
HSC J2255+0251,343.9085,2.8573889,QSO type1-BL,Millquas,6.333,S1L,2023Natur.621...51D,True,29
HFLS3,256.6991667,58.7731972,Active galactic nuclei; High-redshift galaxies; Starburst galaxies,eJWST,6.3369,UUN,2014ApJ...790...40C,True,9
VIK J2211-3206,332.8016292,-32.1035945,QSO type1-BL,Millquas,6.3394,S1L,2022ApJ...941..106F,True,4
PSO J083.8371+11.8482,83.83706,11.8482353,QSO type1-BL,Millquas,6.3401,S1L,2022ApJ...941..106F,True,1
DELS J131608.14+102832.8,199.0339167,10.4757778,QSO type1-BL,Millquas,6.35,S,,True,4
HSC J0857+0056,134.4105417,0.9368612,QSO type1-BL,Millquas,6.35,S1L,2018PASJ...70S..35M,True,4
HSC J1152+0055,178.088625,0.9268334,QSO type1-BL,Millquas,6.3637,S1L,2022ApJ...941..106F,True,4
HSC J0211-0203,32.9355417,-2.0510834,QSO type1-BL,Millquas,6.37,S1L,2022MNRAS.517.1264L,True,4
J159-02,159.2257917,-2.5438722,Quasars,eJWST,6.3822,SLS,2022A&A...662A..60D,True,8
PSO J159.2257-02.5438,159.2257501,-2.5438835,QSO type1-BL-X,Millquas,6.3822,SLS,2022A&A...662A..60D,True,1526
DELS J080305.42+313834.2,120.7725834,31.6428334,QSO type1-BL-R,Millquas,6.384,SUN,2023A&A...678A.128G,True,1
HSC J0859+0022,134.7799584,0.3821945,QSO type1-BL,Millquas,6.3903,S1L,2022ApJ...941..106F,True,1
DELS J153532.87+194320.1,233.8869584,19.72225,QSO type1-BL,Millquas,6.4,P,,True,1
HSCJ0844+0226,131.2359167,2.4445833,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.4,S1L,2019ApJ...883..183M,True,4
HSC J113753.64+004509.7,174.4735,0.7526945,QSO type1-BL,Millquas,6.4,S1L,2019ApJ...883..183M,True,4
HSC J084456.62+022640.5,131.2359167,2.4445834,QSO-NL,Millquas,6.4,S1L,2019ApJ...883..183M,True,5
HSC J2236+0032,339.185853,0.549031,AGN type1,Millquas,6.4039,S1L,2023Natur.621...51D,True,37
DES J021638.85-522620.6,34.161951,-52.439068,QSO type1-BL,Millquas,6.41,SUN,2019AJ....157..236Y,True,1
HSC J1004+0239,151.0056667,2.6585278,QSO type1-BL,Millquas,6.41,S1L,2022MNRAS.517.1264L,True,4
J1148+5251,177.0691667,52.8638889,Quasars,eJWST,6.4189,SUN,2017MNRAS.471.2143L,True,41
PSO J011.3899+09.0325,11.3898667,9.0324889,QSO type1-BL,Millquas,6.42,S,2017ApJ...849...91M,True,1
CFHQS J23291-0301,352.2846,-3.0330778,QSO type1-BL,Millquas,6.43,S,2007AJ 132435....1O,True,4
CFHQS J021013-045620,32.554979,-4.939186,QSO type1-BL,Millquas,6.4323,S1L,2022ApJ...941..106F,True,4
PSO J183.1124+05.0926,183.1123851,5.0926558,QSO type1-BL,Millquas,6.439,S,2017ApJ...849...91M,True,6
PSO J261.0364+19.0286,261.0364292,19.0286445,QSO type1-BL,Millquas,6.44,S,2017ApJ...849...91M,True,1
SDSS J114816.64+525150.3,177.0693626,52.8639754,QSO type1-BL,Millquas,6.44,S,2020ApJS..250....8L,True,771
VIK J2318-3113,349.5764625,-31.2295417,QSO type1-BL-R,Millquas,6.4429,S1L,2024A&A...687A.242I,True,4
DES J213110.29-435902.5,322.792875,-43.9840278,QSO type1-BL,Millquas,6.45,SUN,2019AJ....157..236Y,True,1
PSO J247.2970+24.1277,247.297045,24.1276839,QSO type1-BL,Millquas,6.476,SLS,2019ApJ...884...30W,True,4
JADES_954,189.1519583,62.2596389,Active galactic nuclei,eJWST,6.48,PUN,2021MNRAS.500.5229E,True,16
HSC J135012.04-002705.2,207.5501667,-0.4514445,QSO type1-BL,Millquas,6.49,S1L,2019ApJ...883..183M,True,4
DESI J140258.02-062904.5,210.74178,-6.4846,QSO type1-BL,Millquas,6.49,SUN,2023ApJS..269...27Y,True,4
HSC J1545+4232,236.2734167,42.5365556,QSO type1-BL,Millquas,6.5,P,2018ApJS..237....5M,True,4
PSO J344.1442-02.7664,344.1442962,-2.766438,QSO type1-BL,Millquas,6.5,P,2020ApJ...903...34A,True,4
VDESJ0224-4711,36.110612,-47.191489,QSO type1-BL,Millquas,6.5,P,2017MNRAS.468.4702R,True,203
DESI J011553.41+031829.3,18.97252,3.30816,QSO type1-BL,Millquas,6.51,SUN,2023ApJS..269...27Y,True,4
J1110M1329,167.6415,-13.496,High-redshift galaxies; Quasars,eJWST,6.5148,S1L,2022ApJ...941..106F,True,2
PSO J167.6415-13.4960,167.6415834,-13.496,QSO type1-BL,Millquas,6.5148,S1L,2022ApJ...941..106F,True,204
UHS J043947.08+163415.7,69.946243,16.5710608,QSO type1-BL-X,Millquas,6.5185,SLS,2023A&A...680A..82C,True,12
PSO J036.5078+03.0498,36.5078093,3.0498386,QSO type1-BL-X,Millquas,6.527,S,2015ApJ..801L...11V,True,2669
DESI J144355.05+350055.6,220.97939,35.01546,QSO type1-BL,Millquas,6.53,SUN,2023ApJS..269...27Y,True,4
DES J052559.67-240622.9,81.498629,-24.106375,QSO type1-BL,Millquas,6.5397,S1L,2022ApJ...941..106F,True,199
J0525M2406,81.4986458,-24.1063833,High-redshift galaxies; Quasars,eJWST,6.5397,S1L,2022ApJ...941..106F,True,1
J0226P0302,36.5077917,3.0498,High-redshift galaxies; Quasars,eJWST,6.5405,S1L,2023ApJ...951L...5Y,True,69
HSC J0921+0007,140.3356667,0.1230278,QSO type1-BL,Millquas,6.56,S,2018ApJS..237....5M,True,204
NIRES J233807.03+214358.1,354.529301,21.732827,QSO type1-BL,Millquas,6.565,SUN,2023ApJ...954..164T,True,4
DELS J070626.39+292105.5,106.6099585,29.3515278,QSO type1-BL,Millquas,6.58,S,,True,202
NIRES J105807.72+293041.7,164.532185,29.511591,QSO type1-BL,Millquas,6.5846,S1L,2022ApJ...941..106F,True,202
DELS J113508.93+501133.0,173.7872084,50.1925,QSO type1-BL,Millquas,6.5851,S1L,2022ApJ...941..106F,True,4
PSO J231.6576-20.8335,231.6576893,-20.8335784,QSO type1-BL,Millquas,6.58651,UUN,2017Natur.545..457D,True,199
J1526M2050,231.6576667,-20.8335167,High-redshift galaxies; Quasars,eJWST,6.58651,UUN,2017Natur.545..457D,True,2
J2132P1217,323.1382917,12.2986833,High-redshift galaxies; Quasars,eJWST,6.5881,SLS,2019ApJ...884...30W,True,3
PSO J323.1382+12.2986,323.1382458,12.298644,QSO type1-BL,Millquas,6.5881,SLS,2019ApJ...884...30W,True,196
HSC J0923+0402,140.9463334,4.0484445,QSO type1-BL,Millquas,6.6,P,2018ApJS..237....5M,True,208
ILTJ2336+1842,354.102875,18.7135306,QSO type1-BL-R,Millquas,6.6,SUN,2023A&A...678A.128G,True,4
J0706P2921,106.6099125,29.3515167,High-redshift galaxies; Quasars,eJWST,6.6037,S1L,2022ApJ...941..106F,True,1
VIKING J0305-3150,46.320483,-31.848849,QSO type1-BL,Millquas,6.604,S,2013ApJ 7..24....1S,True,1177
PSO J006.1240+39.2219,6.1240398,39.2219428,QSO type1-BL,Millquas,6.61,S,,True,1
J0305M3150,46.3205,-31.8488889,High-redshift galaxies; Quasars,eJWST,6.6145,S1L,2024A&A...684A..33K,True,3
DELS J104819.09-010940.2,162.0795417,-1.1611695,QSO type1-BL,Millquas,6.63,S,2017ApJ...839...27W,True,200
J0923P0402,140.9463208,4.0484944,High-redshift galaxies; Quasars,eJWST,6.6321,S1L,2024ApJ...970....9B,True,2
J0910M0414,137.7272292,-4.2352333,High-redshift galaxies; Quasars,eJWST,6.6363,S1L,2024ApJ...962L..11W,True,2
DELS J091054.53-041406.8,137.7272084,-4.2352223,QSO type1-BL,Millquas,6.6363,S1L,2024ApJ...962L..11W,False,203
VHS J210219.22-145854.0,315.5800834,-14.9816667,QSO type1-BL,Millquas,6.648,S,,True,197
DELS J121627.58+451910.7,184.1149167,45.3196389,QSO type1-BL-R,Millquas,6.654,S,,True,4
PSO J338.2298+29.5089,338.2297917,29.5089445,QSO type1-BL,Millquas,6.658,S,2015ApJ..801L...11V,True,196
J2232P2930,338.2297917,29.5089,High-redshift galaxies; Quasars,eJWST,6.669,S1L,2023ApJ...951L...5Y,True,2
HSC J225209.17+040243.8,343.0382084,4.0455,QSO type1-BL,Millquas,6.67,SLS,2022ApJS..259...18M,True,5
GNIRS J092359.00+075349.1,140.995821,7.896974,QSO type1-BL,Millquas,6.682,S,,True,202
GNIRS J200241.59-301321.6,300.673308,-30.222692,QSO type1-BL,Millquas,6.6876,S1L,2023ApJ...951L...5Y,True,204
HSC J000142.54+000057.5,0.426972,0.0159429,QSO type1-BL,Millquas,6.69,S1L,2019ApJ...883..183M,False,1
J0001+0000,0.42725,0.0159722,High-redshift galaxies; Quasars,eJWST,6.69,S1L,2019ApJ...883..183M,True,1
HSC J123137.77+005230.3,187.907375,0.8750834,QSO type1-BL,Millquas,6.69,S1L,2019ApJ...883..183M,True,4
DELS J083737.84+492900.4,129.407659,49.4834431,QSO type1-BL,Millquas,6.702,S1L,2022ApJ...941..106F,True,1
HSC J134400.87+012827.8,206.003625,1.4743889,QSO type1-BL,Millquas,6.72,S1L,2019ApJ...883..183M,True,4
HSC J0213-0626,33.320549,-6.437583,QSO type1-BL,Millquas,6.72,S1L,2022MNRAS.517.1264L,True,4
DELS J091013.63+165629.8,137.5567917,16.9416112,QSO type1-BL,Millquas,6.7289,S1L,2022ApJ...941..106F,True,191
VDES J0244-5008,41.004297,-50.148263,QSO type1-BL-X,Millquas,6.7306,S1L,2023ApJ...951L...5Y,True,196
DELS J110421.59+213428.8,166.0899582,21.5746423,QSO type1-BL,Millquas,6.74,S,,True,194
VIKING J0109-3047,17.47135,-30.79063,QSO type1-BL,Millquas,6.745,S,2013ApJ 7..24....1S,True,190
HSC J1205-0000,181.2712084,-0.00775,QSO type1-BL,Millquas,6.75,S,2018PASJ..70S...35M,True,4
DELS J082931.97+411740.4,127.3832084,41.2945556,QSO type1-BL,Millquas,6.768,S,,True,1
HSC J021847.04+000715.0,34.696,0.1208334,QSO type1-BL,Millquas,6.78,S,2022ApJS..259...18M,True,209
HSC J161207.12+555919.2,243.0296667,55.9886667,QSO-NL,Millquas,6.78,S1L,2019ApJ...883..183M,True,9
HSC J1429-0104,217.2628334,-1.0787223,QSO type1-BL,Millquas,6.8,S1L,2018PASJ...70S..35M,True,4
COS-2987030247,150.12444,2.21729,QSO type1-BL,Millquas,6.8076,S1L,2023A&A...669A..46P,False,34
DELS J041128.63-090749.8,62.8693224,-9.1304831,QSO type1-BL,Millquas,6.81,S,,True,23
HSC J011257.84+011042.4,18.241,1.1784445,QSO type1-BL,Millquas,6.82,S1L,2019ApJ...883..183M,True,1
QSO-J1310-0050,197.7083333,-0.8483333,Infrared sources,eJWST,6.82,SLS,2022ApJS..259...18M,True,8
PSO J172.3556+18.7734,172.3557084,18.7734139,QSO type1-BL,Millquas,6.824,S1L,2022ApJ...941..106F,True,202
J1129P1846,172.3557,18.773425,High-redshift galaxies; Quasars,eJWST,6.824,S1L,2022ApJ...941..106F,True,2
DES J031941.66-100846.0,49.923685,-10.146116,QSO type1-BL,Millquas,6.8275,S1L,2022ApJ...941..106F,True,4
VDES J0020-3653,5.131212,-36.894982,QSO type1-BL,Millquas,6.834,S,2019MNRAS.487.1874R,True,15
COS-87259,149.7427917,1.6556112,QSO type1-BL,Millquas,6.8532,S1L,2023MNRAS.520.4609E,True,55
COS-3018555981,150.12575,2.26661,QSO type1-BL,Millquas,6.854,SUN,2017MNRAS.471.2143L,False,33
VDESJ0020-3653,5.1311333,-36.89495,High-redshift galaxies; Quasars,eJWST,6.8601,SLS,2023A&A...680A..82C,True,5
DES J221100.60-632055.8,332.75251,-63.348869,QSO type1-BL,Millquas,6.88,S,2019AJ....157..236Y,True,1
VIKING J2348-3054,357.1389167,-30.9027778,QSO type1-BL,Millquas,6.886,S,2013ApJ 7..24....1S,True,4
HSC J2210+0304,332.6135,3.0745834,QSO type1-BL,Millquas,6.9,S1L,2022MNRAS.517.1264L,True,4
SPT0311-58-CENTRALS,47.8880833,-58.3926111,Galaxy halos; High-redshift galaxies; Starburst galaxies; Ultraluminous infrared galaxies,eJWST,6.9,SUN,2018Natur.553...51M,True,4
DELS J083946.88+390011.5,129.9453763,39.0031771,QSO type1-BL,Millquas,6.9046,S1L,2022ApJ...941..106F,True,4
QSO-J1609+5328,242.4708333,53.4725,Infrared sources,eJWST,6.92,S1L,2019ApJ...883..183M,True,18
HSC J160953.03+532821.0,242.4709584,53.4725,QSO type1-BL,Millquas,6.92,S1L,2019ApJ...883..183M,True,4
CEERS_00717,215.0814167,52.9721944,Active galactic nuclei,eJWST,6.932,SLS,2023MNRAS.526.1657T,True,2
DES J025216.64-050331.8,43.069397,-5.058856,QSO type1-BL,Millquas,7.02,S,2019AJ....157..236Y,True,5
DELS J003836.10-152723.6,9.6504167,-15.4565556,QSO type1-BL,Millquas,7.021,S,,False,1
Abell2744-QSO1a,3.5798375,-30.4015722,Active galactic nuclei,eJWST,7.0451,SLS,2024Natur.628...57F,True,2
ULAS J112001.48+064124.3,170.0061667,6.6900834,QSO type1-BL-X,Millquas,7.0848,S1L,2022ApJ...941..106F,True,878
J1120+0641,170.0061667,6.6900833,Quasars,eJWST,7.0848,S1L,2022ApJ...941..106F,True,92
COS-zs7-1,150.09904,2.3436043,QSO type1-BL,Millquas,7.149,S,2017ApJ...851...40L,False,63
GNZ7Q,189.0706454,62.2089528,High-redshift galaxies; Quasars; Starburst galaxies,eJWST,7.1899,S1L,2022Natur.604..261F,True,7
REBELS-25,150.134675,1.7420167,Disk galaxies ; High-redshift galaxies ; Ultraluminous infrared galaxies,eJWST,7.3065,S1L,2024MNRAS.533.3098A,True,24
Poniua`ena J1007+2115,151.9927667,21.2581139,QSO type1-BL,Millquas,7.5149,SST,2023ApJ...954L..10F,True,57
ULASJ1342+0928,205.5337375,9.4773,Quasars,eJWST,7.54,S1L,2022ApJ...941..106F,True,2
ULAS J134208.10+092838.6,205.53375,9.4773917,QSO type1-BL,Millquas,7.54,S1L,2022ApJ...941..106F,True,120
J1342+0928,205.53375,9.4773889,Quasars,eJWST,7.54,S1L,2022ApJ...941..106F,True,2
J031343.84-180636.4,48.4326667,-18.1101112,QSO type1-BL,Millquas,7.6423,S1L,2022ApJ...941..106F,True,555
