Name,"RA (J2000, deg)","Dec (J2000, deg)",objType,Ref,z,zType,zRef,Targeted,N_Observaciones
IMS J220417.92+011144.8,331.074747,1.195708,QSO type1-BL,Millquas,5.944,S,2015ApJ...813...35K,True,4
CFHQS J01028-0218,15.711029,-2.302908,QSO type1-BL,Millquas,5.95,SUN,2016ApJ...819...24W,True,1
SDSS J222843.54+011032.2,337.181346,1.175545,QSO type1-BL,Millquas,5.95,SUN,2018ApJS..237....5M,True,4
PSO J267.0021+22.7812,267.0020998,22.7811977,QSO type1-BL,Millquas,5.95,SUN,2023ApJ...943...67S,True,1
PSO J009.7355-10.4316,9.7354959,-10.4316551,QSO type1-BL,Millquas,5.95,S,,True,1
PSO J001.6889-28.6783,1.689,-28.6783473,QSO type1-BL,Millquas,5.95,SUN,2023ApJS..265...29B,True,1
SDSS J084119.52+290504.4,130.3313125,29.0845695,QSO type1-BL,Millquas,5.954,S1L,2022ApJ...941..106F,True,4
ULAS J0148+0600,27.1568423,6.0055434,QSO type1-BL,Millquas,5.96,S,2015in pr...1....1W,True,782
HSC J121049.13+013426.7,182.7047084,1.5740834,QSO type1-BL,Millquas,5.97,SUN,2019ApJ...883..183M,True,4
J0148+0600,27.1568292,6.0055583,Quasars,eJWST,5.977,S1L,2023MNRAS.523.1399D,True,45
PSO J008.6083+10.8518,8.6083334,10.8518612,QSO type1-BL,Millquas,5.98,SUN,2023ApJS..265...29B,True,1
CFHQS J0316-1340,49.2077917,-13.6756389,QSO type1-BL,Millquas,5.99,SUN,2016ApJ...819...24W,True,4
PSO J056.7168-16.4769,56.7169116,-16.4769415,QSO type1-BL,Millquas,5.99,S,,True,1
HSC J0858+0000,134.5562917,0.0158612,QSO type1-BL,Millquas,5.99,S1L,2022MNRAS.517.1264L,True,4
PSO J032.9188-17.0746,32.918876,-17.074659,QSO type1-BL,Millquas,5.99,SUN,2023ApJS..265...29B,True,1
PSO J007.0273+04.9571,7.0273686,4.9570557,QSO type1-BL,Millquas,5.99,S,2014AJ 14..14....1M,True,1
SDSSp J130608.26+035626.3,196.5344071,3.9406493,QSO type1-BL-X,Millquas,5.99,S,2001AJ 122850....1W,True,1002
PSO J037.9706-28.8389,37.9706352,-28.8389346,QSO type1-BL,Millquas,6.0,SUN,2023ApJ...943...67S,True,4
SDSS J235651.58+002333.3,359.214884,0.392534,QSO type1-BL,Millquas,6.0,P,2009AJ 13.305....1B,True,4
