#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
2153,362,54212,0.2115779,0,23.57766,2.667714,733.0226,6.169148,226.8052,3.788368,52.77781,3.123686,47.9811,3.026801,92.93742,1.775256,280.3207,5.354576,69.60406,4.469662,64.33968,4.468814
2153,379,54212,0.200623,0,16.29689,2.21749,513.8016,5.079461,161.2665,3.450078,39.63848,2.682301,30.74793,2.414018,30.48463,1.066573,91.9487,3.217028,68.4138,3.67518,56.39656,3.563423
309,116,51994,0.1326886,0,35.67101,3.284985,718.6002,6.349014,204.5059,4.15869,52.45206,5.135286,65.09084,3.395719,131.0377,1.785791,395.24,5.386352,77.67108,6.207187,66.65743,6.185618
499,192,51988,0.1327659,0,14.84606,2.131541,1455.073,8.26778,465.3804,4.393503,182.1856,5.005316,166.6574,3.978809,200.7073,1.393848,605.3796,4.204164,160.2544,5.30276,136.4897,5.186778
499,338,51988,0.2072243,0,10.53146,1.458336,385.5156,2.934437,121.2575,2.10373,23.21932,1.760209,20.6192,1.633161,38.04744,0.9013183,114.7598,2.718581,35.59449,2.406393,32.86202,2.401285
572,521,52289,0.1240314,0,110.2927,4.86726,773.4346,8.253701,220.952,7.035458,76.59992,4.542981,76.28789,4.635818,343.6703,3.909045,1036.589,11.79057,87.60971,9.704586,112.2337,9.886962
849,590,52439,0.2001507,0,51.71922,4.208944,402.4474,5.260217,114.0624,4.250478,37.58843,4.506879,24.31983,3.730301,79.38444,2.125784,239.4418,6.411849,94.42684,7.344371,76.9651,7.344488
1435,158,52996,0.1199272,0,110.5391,5.899862,4128.207,30.36123,1305.905,14.07975,236.6144,6.257433,204.1657,5.676582,259.0016,4.29479,781.2087,12.95406,360.3696,12.84247,343.922,12.86477
1435,194,52996,0.253374,0,32.38538,5.683949,1427.927,11.0876,403.7118,7.461513,155.0828,11.46238,224.3136,12.47674,381.7607,6.145209,1151.479,18.53535,197.0522,21.04936,219.2804,20.9827
1435,256,52996,0.1067022,0,54.58854,4.549885,2341.495,16.43555,782.3521,8.852494,380.8023,6.674024,292.8809,6.136178,261.8469,2.893207,789.7906,8.726572,339.4339,17.73367,851.4437,19.00727
1435,608,52996,0.08284797,0,26.42353,3.26305,132.7832,4.057791,35.9313,3.324602,41.58517,3.741715,30.11982,3.548254,79.91872,1.952432,241.0533,5.888979,32.77847,5.519983,56.55709,5.596896
1611,180,53147,0.1197842,0,19.39856,3.595148,247.0549,5.427702,62.90703,4.018007,33.67804,3.875814,27.55999,3.378357,81.10027,2.145801,244.6171,6.472225,39.62943,5.677591,36.36161,5.828251
1677,116,53148,0.2077666,0,33.82783,3.498667,2726.792,14.28541,884.4562,7.208537,228.7544,5.460508,213.5337,5.334688,302.0106,2.704701,910.9335,8.157992,152.2059,8.077856,253.8658,8.376546
1677,129,53148,0.09925611,0,25.58898,4.3699,500.6814,7.318388,147.7668,5.296733,126.1952,4.860514,123.4946,5.160454,148.3905,2.61584,447.5801,7.88997,196.5595,11.34034,180.8798,10.92722
1677,266,53148,0.09348072,0,37.46849,4.027012,517.7672,7.478378,142.2458,5.000047,87.86004,5.057753,60.58402,4.171369,120.2183,2.501641,362.6061,7.545517,80.3476,8.167665,51.37702,7.912266
