#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
2481,279,54086,0.04562128,0,22.62242,2.51899,218.4832,3.585939,67.11382,2.524412,39.43565,1.840457,31.58302,1.888083,31.57954,0.8196481,95.25119,2.472245,64.93568,5.810777,48.80137,5.761254
2481,539,54086,0.1563561,0,20.3028,2.631964,479.708,5.670676,140.6855,3.674295,48.13194,3.193095,44.76957,3.340896,74.67644,2.037126,225.2414,6.144436,60.31286,4.22284,39.34478,4.17232
2485,411,54176,0.07706288,0,65.45239,4.186602,2671.873,19.09656,893.4675,9.204169,358.2889,5.693042,305.3857,6.056425,461.9852,3.343043,1393.454,10.08338,628.3057,11.84632,484.5405,11.05744
371,215,52078,0.110824,0,57.86103,3.613941,1530.182,8.185071,503.0749,4.872154,219.8556,3.074309,199.2824,3.186316,156.3568,1.382631,471.6082,4.170329,280.7778,9.752504,250.0949,10.13826
418,595,51817,0.1012562,0,24.10416,3.414063,270.9238,5.002806,71.92954,3.837892,42.64903,2.707046,29.01001,2.441647,53.11055,1.368521,160.1937,4.12777,32.21741,5.586113,47.14446,5.583357
556,352,51991,0.1363783,0,23.89051,2.474495,456.29,5.556851,139.2455,3.422732,53.52077,3.61938,37.03749,2.990618,74.48557,1.365186,224.6657,4.117713,79.48495,4.1204,57.07683,3.9381
556,390,51991,0.1376993,0,15.83423,2.423758,326.7842,4.541796,92.06185,3.033796,24.64569,3.034069,33.35089,2.813644,55.58694,1.209373,167.663,3.647743,44.48943,3.846176,26.3068,3.904394
556,530,51991,0.1383694,0,32.99177,2.312216,1173.88,8.645823,380.2941,4.640507,47.95774,3.061269,41.66389,2.885014,71.92237,1.581485,216.9345,4.770119,138.0704,4.752753,55.37472,4.315136
623,405,52051,0.04103752,0,40.27961,7.009965,847.0916,12.00808,219.5309,8.463243,257.8079,8.926817,223.4642,8.744116,264.8889,4.650255,798.9661,14.02623,206.1393,16.9701,289.6459,17.01298
761,71,54524,0.1263167,0,62.18889,3.003994,1654.391,12.46723,519.9736,6.659852,100.4241,4.225897,135.1871,4.145626,193.0552,2.786381,582.299,8.404359,166.5374,6.523677,177.7213,6.632918
827,417,52312,0.2300598,0,52.58184,2.958233,1084.974,7.412752,349.8903,3.836722,67.54117,2.950013,61.5331,4.761516,113.8047,1.652667,343.2612,4.984819,177.0213,5.887437,212.8662,6.091992
965,320,52438,0.227953,0,12.58474,2.447248,254.5447,3.922651,76.6024,2.511721,31.64232,2.78737,32.76162,2.796012,24.26152,1.029885,73.17836,3.106366,63.31064,4.933754,50.95734,5.000435
965,410,52438,0.1575466,0,20.23269,3.805427,474.52,8.521021,148.0931,5.17245,69.648,4.194244,53.65516,4.852888,98.5374,2.361388,297.2115,7.122482,68.51871,8.336544,168.328,8.67286
1575,640,53493,0.0392371,0,115.0933,7.193053,1525.062,15.28389,437.0099,9.188565,342.5049,8.43385,256.1769,7.754058,495.094,6.470935,1493.318,19.51781,292.7794,12.47234,251.8027,12.21178
1576,100,53496,0.1376014,0,36.13315,4.411239,1115.031,11.41872,348.414,6.844121,122.1596,5.547526,137.5485,5.25881,209.0637,2.371483,630.5844,7.152933,131.5854,10.12222,128.2193,10.12776
1771,185,53498,0.08437679,0,20.65604,3.969316,1406.022,11.57679,454.3977,6.369637,138.6669,4.933021,129.6841,4.456404,158.2224,1.758538,477.2352,5.304152,103.6091,10.37474,147.7888,9.946075
1833,404,54561,0.08061591,0,30.81681,3.470381,1798.636,12.56975,582.7549,6.607276,137.6945,3.884829,123.2252,4.193723,180.7361,2.331992,545.1418,7.033819,190.7666,7.932966,156.2979,7.900094
1978,325,53473,0.04766085,0,32.43786,3.965022,1456.758,13.91089,457.7663,7.498989,146.4829,4.445185,111.2206,4.195236,145.4363,2.379636,438.6695,7.177526,158.3504,7.938774,162.2459,8.060308
2113,527,53468,0.228639,0,20.78839,2.846702,904.2705,7.652017,291.1344,4.177381,107.6445,4.046098,100.9379,3.872738,121.6559,1.675982,366.9422,5.055143,242.652,7.022477,134.2725,6.600958
2114,62,53848,0.1164905,0,22.46804,3.399187,331.3575,5.647095,100.2085,4.098223,98.07786,4.263929,87.00583,3.775641,80.69257,1.72084,243.3874,5.190444,189.5223,9.02675,126.241,8.712001
2114,64,53848,0.06645954,0,40.44436,3.127605,1538.019,12.75486,509.0338,6.491232,115.6437,3.474082,117.1121,3.544634,136.3789,1.667443,411.3503,5.029387,123.0127,7.394083,191.0068,8.107726
2486,278,53876,0.1204766,0,23.57522,3.774426,729.9628,7.972946,229.3854,5.211825,49.23094,4.243695,68.86617,3.784232,69.39879,1.548766,209.3228,4.671429,70.0851,9.012363,52.64616,9.063691
2486,493,53876,0.1202178,0,16.20651,2.744706,591.3976,6.411384,185.0199,3.841171,148.8669,3.528235,125.4103,3.056611,158.2073,1.625991,477.1897,4.904357,173.7891,6.275908,192.9577,6.393468
2487,220,53852,0.08907411,0,44.82285,4.188626,3871.707,25.32041,1283.516,11.80932,448.9937,8.152728,480.3652,8.090619,608.5863,4.453969,1835.637,13.43419,307.1259,12.77369,453.8788,13.19185
2488,585,54149,0.1578177,0,10.63428,1.739181,352.799,4.81399,107.1366,2.733338,47.61049,2.071232,38.41106,2.343905,57.86085,1.271359,174.5217,3.834708,49.44277,2.834119,33.48327,2.748369
2490,9,54179,0.1954962,0,105.3245,4.439906,1440.489,9.904514,435.2516,6.569151,132.1875,5.580187,108.6954,4.692212,214.3224,3.680608,646.4459,11.10155,213.8041,10.69501,249.473,10.71004
2490,78,54179,0.05214465,0,34.22095,4.383341,1354.429,13.64809,445.2986,7.397433,68.93678,4.281339,80.20017,4.462177,124.3351,2.142726,375.0233,6.462949,71.22342,7.554699,79.56548,7.862579
2493,212,54115,0.1153366,0,15.91914,2.745083,898.5444,9.084989,278.6127,4.510024,127.8898,3.412711,128.0479,3.312969,198.841,2.185167,599.7502,6.590962,104.114,5.936187,101.1194,5.960085
2493,350,54115,0.09570611,0,9.264817,1.555328,454.5569,4.859519,152.0427,2.717167,36.90369,2.293218,29.13304,1.911404,52.80353,0.7963524,159.2676,2.40198,41.33396,2.376389,46.62028,2.404293
354,617,51792,0.06878067,0,42.14947,5.27983,986.1317,10.51235,283.852,6.753377,121.4878,5.373869,141.0216,5.489712,247.5643,3.430042,746.7111,10.34579,127.618,11.1257,155.0607,11.36523
472,101,51955,0.2225492,0,15.36356,2.939554,587.7585,5.226791,192.2844,3.54801,30.53524,3.692056,20.00767,3.413784,40.17995,1.284244,121.192,3.873573,77.62589,6.165014,55.20263,6.171882
742,157,52263,0.1654151,0,61.17567,5.124535,762.703,9.822521,234.2095,6.780172,34.7367,4.491405,37.03754,4.711185,113.1155,2.338622,341.1824,7.053818,103.8636,8.575912,54.74653,8.409775
742,332,52263,0.251453,0,30.35684,3.626182,863.0771,6.94969,275.7814,4.353881,49.40339,4.950945,42.96276,4.857386,92.962,1.806522,280.3949,5.448881,193.502,7.079839,99.02631,6.802655
742,345,52263,0.1271069,0,50.62162,5.043697,604.8658,8.522304,176.3385,5.864173,50.40458,4.557397,51.85656,4.346332,157.598,2.843649,475.3521,8.577091,125.2782,9.500098,114.0895,9.600718
949,550,52427,0.1618696,0,17.33901,2.857073,241.8629,5.555886,62.21503,3.934586,65.37206,4.12966,61.39846,5.175347,76.81654,2.055791,231.6964,6.200733,32.97606,6.257306,60.88597,6.282969
1318,161,52781,0.07183636,0,147.6542,6.930925,1263.711,14.14734,386.2332,8.447721,85.06815,4.784554,59.16158,4.483069,136.5562,3.644874,411.8849,10.99377,150.2675,11.37133,91.21722,11.18961
1690,395,53475,0.1335109,0,17.87786,2.997494,376.3776,5.579297,111.0275,3.813424,29.26621,4.222083,34.54566,4.137654,79.29897,1.487556,239.184,4.486808,33.66904,5.041539,37.81112,5.110916
1757,234,53083,0.1800208,0,27.92365,2.733283,302.1064,4.309546,85.85321,3.58226,66.75358,3.339631,45.97295,2.783248,81.73025,1.532429,246.5173,4.622154,62.53342,4.274895,46.20041,4.217266
1757,417,53083,0.2716733,0,28.637,3.082057,249.1809,4.094844,72.86491,3.3552,26.92823,4.31005,24.23781,4.115278,69.81196,1.947713,210.569,5.874746,29.00087,4.604843,40.86236,4.567212
1820,563,54208,0.2105176,0,12.99652,2.563853,202.7013,3.951676,54.55605,3.086384,28.06834,3.133999,21.43206,3.26745,43.09946,1.568461,129.9979,4.730835,50.46608,4.275683,46.0973,4.425394
2104,63,53852,0.1822582,0,15.92603,2.921822,1057.934,7.688684,324.235,5.429376,60.08521,3.280944,58.01082,3.467794,110.2098,1.387737,332.4181,4.18573,81.26201,7.292095,146.0909,7.405586
2104,178,53852,0.03201681,0,31.62361,5.060497,792.518,10.84375,260.0327,6.833097,60.55362,4.988876,60.94062,5.18078,103.3266,2.79417,311.6567,8.427854,72.89354,9.106989,83.48927,9.164248
2167,139,53889,0.0483251,0,135.7632,6.098635,2725.86,21.89559,842.6922,11.23328,183.0281,6.62346,164.8783,6.430037,273.8054,4.995165,825.8602,15.06655,281.5514,15.80861,470.6833,16.90033
2167,484,53889,0.07240462,0,96.56523,6.387545,2168.202,19.19882,640.0532,10.23376,175.8547,6.133113,186.99,5.869662,264.5016,4.654742,797.7978,14.03976,242.7875,12.62265,237.9649,12.59443
2495,20,54175,0.2067892,0,41.82549,3.898229,407.4805,5.612883,119.7748,4.399365,29.21097,4.114621,24.24755,3.968227,129.9394,2.337748,391.9272,7.05118,44.84787,7.173814,39.80802,7.126068
2495,347,54175,0.1988524,0,25.0269,2.581101,1592.941,8.010426,506.8198,5.172132,129.981,3.963895,129.6616,3.933218,104.9421,1.604127,316.5296,4.838412,91.19542,5.992449,133.7413,6.042935
2495,529,54175,0.1672478,0,21.60209,3.026438,321.0866,5.276457,93.33557,4.048265,69.60823,3.555151,64.21767,4.624049,128.8586,1.857686,388.6674,5.603203,99.16821,5.764341,49.08635,5.610689
2497,7,54154,0.1173851,0,31.38811,3.595503,410.5127,6.271945,136.3047,4.543736,67.55897,4.08028,46.49778,4.095972,87.72929,1.957037,264.6118,5.902868,76.3787,7.353245,89.63375,7.429426
2499,555,54176,0.1570965,0,17.94894,2.429375,481.2616,5.895233,143.0839,3.583459,85.63671,2.905437,76.41047,2.998597,136.393,1.71089,411.3929,5.160432,114.7958,4.980313,114.7214,4.931242
2500,197,54178,0.07907487,0,18.00875,2.951901,382.5429,5.585906,117.6975,3.682611,41.51101,3.177844,32.21071,2.884461,62.91396,1.531204,189.763,4.618459,47.13761,4.974562,47.52499,4.831792
2500,261,54178,0.08934598,0,37.81067,3.343688,876.7884,9.084453,287.3562,5.127696,88.22144,3.868468,97.24432,3.584989,187.6508,2.501589,565.9982,7.545362,134.7833,7.948216,197.7842,8.19754
2501,358,54084,0.06940463,0,38.17472,3.097651,1188.959,9.44539,379.9326,5.162065,76.95853,2.933942,64.80356,2.869626,138.7378,2.15001,418.4653,6.484919,107.6099,5.333106,94.42496,4.82465
2501,384,54084,0.05893762,0,25.20927,3.965312,726.2633,8.46441,200.5305,5.096768,87.78237,4.400301,66.79028,4.275183,262.5283,3.431952,791.846,10.35155,71.49344,6.2925,67.16566,6.344417
2501,390,54084,0.2101639,0,10.8594,2.040696,343.5173,3.832362,108.3317,2.665751,26.93683,2.265131,22.45539,2.538002,41.16606,1.77775,124.1663,5.3621,46.5811,2.80797,58.63453,2.990948
2501,395,54084,0.1373638,0,38.16066,3.001395,480.4437,5.563307,142.7019,3.938931,44.80949,4.241689,39.12531,3.711397,169.1166,2.438136,510.0948,7.353974,48.31836,4.94615,34.78528,4.931406
2502,66,54180,0.3245617,0,34.20004,4.527696,851.4561,7.981709,239.9341,4.812449,85.12634,7.353477,50.09998,8.36235,123.7082,3.153913,373.1326,9.512918,114.696,7.994825,90.12979,7.905888
520,429,52288,0.1376991,0,46.05605,3.153275,1229.053,8.638722,377.8889,5.057519,86.66448,4.318256,86.5268,3.885304,223.7705,2.911542,674.9436,8.781873,222.316,6.36457,78.33546,6.036776
589,25,52055,0.1369543,0,70.97066,4.589666,1141.586,11.40238,323.7214,6.62581,122.4595,5.626332,98.08286,4.871489,232.4158,3.489267,701.0198,10.52442,164.9951,10.0813,127.7569,10.06193
589,111,52055,0.03588414,0,450.425,21.87687,15682.83,104.6224,4655.794,47.65449,1247.9,26.08983,1356.333,25.94928,2377.823,26.21412,7172.063,79.06775,1411.844,61.37141,1873.151,63.46047
730,593,52466,0.1225919,0,48.47649,3.793186,579.5521,6.675203,156.2314,4.429763,55.42283,2.861111,50.33039,2.800627,168.9389,2.487556,509.5589,7.503034,78.1764,6.696141,57.03451,6.710797
872,372,52339,0.1985823,0,18.46738,2.577609,353.1306,4.387452,117.9725,3.437612,41.67353,3.309905,37.19495,3.302719,33.96651,1.2543,102.4509,3.783254,76.91193,4.336439,71.60597,4.374645
873,158,52674,0.0625544,0,24.31685,3.552412,895.3079,9.023828,288.2486,5.253175,87.24236,3.351853,86.91402,3.331243,115.9259,1.772856,349.6592,5.347337,86.01593,9.300009,130.8165,9.189783
1225,495,52760,0.1498032,0,35.66708,4.558488,473.0305,8.511885,135.8737,5.8869,35.01794,4.366792,36.01159,4.640473,83.91347,2.402157,253.1024,7.245452,80.5245,7.407009,36.91715,7.205968
1384,291,53121,0.2095468,0,37.94891,4.217726,928.3301,8.151411,281.6741,5.619541,71.87056,4.209404,57.78227,4.206957,117.1066,2.726066,353.2206,8.222437,143.7904,7.606724,123.8783,7.536994
1458,262,53119,0.1938866,0,32.99967,2.812721,654.6699,5.959267,201.0826,4.062943,70.40333,3.864034,75.08347,3.359745,102.6376,2.009851,309.5787,6.062168,177.9699,6.781016,146.9836,6.682034
1696,549,53116,0.2204827,0,27.66531,3.53602,432.6178,5.652714,121.6911,3.901044,65.47976,4.198298,53.07655,3.813812,83.76172,2.227308,252.6447,6.718068,108.8149,6.146522,80.48212,6.033909
1697,207,53142,0.1185561,0,13.72906,2.262387,555.7325,6.277345,174.5223,3.647026,65.04946,2.387412,59.13555,2.502122,63.66153,1.478953,192.0179,4.46086,79.08904,4.099881,79.92022,4.112991
1697,241,53142,0.1040794,0,38.46624,3.709205,1218.434,10.53261,408.0518,6.231011,90.53533,3.96788,100.0472,4.022948,122.8324,2.157425,370.4908,6.507286,204.4868,9.436496,175.4403,9.318102
1762,492,53415,0.1127177,0,26.9388,3.877719,588.2449,9.371615,152.9854,4.854413,65.91696,3.993679,57.72485,3.653784,131.3318,2.485962,396.127,7.498228,130.8668,7.814507,44.10096,7.525883
1763,174,53463,0.2859516,0,25.86312,3.731686,1225.813,134.4659,290.1935,5.343428,48.39544,5.966686,40.64396,6.409107,77.25772,2.780622,233.0271,8.386988,137.885,9.65578,102.7846,9.629897
1828,561,53504,0.1140254,0,22.09452,3.699427,1309.23,12.64041,422.4552,5.99798,193.1593,4.885735,169.759,4.511542,196.1595,2.204439,591.6625,6.64909,137.868,9.27165,183.4118,9.22356
1975,225,53734,0.05044332,0,32.93804,3.359729,1857.432,15.44416,616.5272,7.570798,168.5262,4.14847,158.1946,4.223302,167.3596,3.059911,504.795,9.229388,136.5814,7.502924,160.5283,7.639053
2502,347,54180,0.05185081,0,28.27338,4.442099,2084.582,15.80118,669.7011,8.431307,179.6156,5.170539,232.4966,5.317474,378.0327,3.529938,1140.234,10.6471,317.6494,12.66958,153.5636,12.07994
2504,209,54179,0.1006608,0,49.02022,4.623269,785.5577,9.4103,231.8689,5.96978,74.42101,4.195236,60.8321,3.965761,124.5425,2.803357,375.6489,8.455563,80.88157,8.297946,75.52355,8.202056
2504,446,54179,0.1534156,0,39.43353,2.937794,574.9139,6.992075,186.5807,4.352643,26.3573,3.319651,28.48879,2.731408,83.72732,1.824701,252.5409,5.503712,31.7413,4.158476,32.55077,4.275411
2505,198,53856,0.1973213,0,10.69124,2.083853,263.6078,3.877342,79.19305,2.768637,12.6018,2.301553,20.17931,2.673341,19.17949,1.101152,57.84975,3.321326,46.01722,3.288126,41.70348,3.29925
2507,416,53876,0.03502194,0,34.48588,3.971057,695.2835,8.295074,223.487,5.314666,92.5635,4.260967,85.94414,4.093425,132.807,2.102472,400.5766,6.341534,94.8998,8.532067,155.1546,8.835366
491,17,51942,0.2234785,0,21.10604,1.861328,224.7087,2.499125,61.27269,2.030215,28.88187,2.148274,21.29145,1.983545,56.58648,1.10009,170.6779,3.318123,63.31026,3.057038,34.78786,2.966778
557,398,52253,0.1846314,0,31.25285,3.732049,335.2976,5.327854,90.71147,4.520354,25.06463,3.247505,22.8894,3.441379,67.91795,2.071085,204.8562,6.246865,34.94304,5.723766,52.21705,5.828611
1272,312,52989,0.0736665,0,29.34391,4.196428,2055.076,11.58073,687.239,6.278635,317.3317,4.026453,271.6981,3.848035,223.4825,1.674061,674.0748,5.049348,278.7242,10.69207,384.8548,11.07718
1338,596,52765,0.2693744,0,29.64742,3.01635,291.1201,4.153997,78.36736,3.161537,40.7337,4.205894,32.89093,4.192825,108.1473,2.337153,326.1973,7.049387,65.92059,5.006155,35.68436,4.897579
1339,568,52767,0.1228137,0,19.15212,3.600646,1177.861,8.918898,401.0461,5.86697,135.5334,4.188649,131.876,4.315263,135.0586,1.978867,407.3679,5.968715,135.5424,8.501352,117.0289,8.659793
1405,263,52826,0.08931328,0,30.65925,3.516399,787.8334,9.205519,255.8873,5.217637,122.2011,4.221775,105.1139,3.532258,137.3459,1.674314,414.2668,5.050111,242.3441,8.911136,238.2784,8.99498
1583,105,52941,0.1096307,0,38.97926,4.494791,2498.16,17.09067,822.7889,8.990481,243.9578,5.701821,275.1496,6.259448,339.9333,3.118775,1025.317,9.406935,299.6219,13.25565,372.2863,13.61735
1708,545,53503,0.1289209,0,32.13189,3.950223,948.0646,9.584455,305.1766,5.969152,145.9847,5.028646,116.5865,7.016866,158.8332,2.186039,479.0775,6.593591,312.7037,11.00887,208.2645,10.61945
1775,561,53847,0.161348,0,27.77121,2.944447,826.6064,9.480739,262.7778,5.185487,37.88551,2.94453,28.60674,3.010466,45.31269,1.639983,136.6735,4.946561,57.27531,4.757972,55.831,4.635241
2514,150,53882,0.2622804,0,29.437,2.357656,1084.157,7.683398,357.0083,4.136586,41.48705,3.11952,36.00795,3.373336,27.67548,1.200077,83.47562,3.619705,101.6211,4.178619,92.54845,4.16001
2516,122,54241,0.3413423,0,14.59937,2.82106,620.2649,4.093441,183.8447,2.451165,75.49199,4.207494,64.97188,3.8977,167.9333,2.628464,506.5255,7.928044,222.7885,5.271944,63.01065,4.903824
2516,313,54241,0.0928172,0,19.92207,3.59322,266.5571,4.87274,72.4764,3.833997,86.71046,4.377803,84.38311,3.720332,184.4388,1.722497,556.31,5.195442,123.2418,9.634749,49.69009,9.137744
2516,557,54241,0.2370256,0,29.6191,3.445806,845.9398,6.804722,250.535,4.296133,25.98492,4.790958,31.64487,4.036089,89.91696,2.272427,271.2103,6.854157,45.23475,6.514811,86.10299,6.622001
2517,133,54567,0.09282254,0,116.4563,4.988663,1696.719,14.74488,507.3078,7.701776,79.24931,5.223299,86.50089,4.383055,256.0675,3.991631,772.3588,12.03967,101.9409,9.331658,187.7753,9.751673
341,618,51690,0.07687543,0,42.81279,3.951257,581.8578,7.221591,185.0979,4.896068,95.82271,4.271528,80.8003,4.528837,136.222,2.468945,410.8771,7.446899,95.09161,6.632386,84.90435,6.608161
455,466,51909,0.2615852,0,33.05119,3.661411,1247.26,8.102482,402.5988,4.93421,164.9196,6.044535,150.4189,5.927873,201.3812,2.915977,607.4122,8.79525,188.869,9.632113,250.6657,9.5276
530,165,52026,0.03288136,0,421.0952,11.56759,7534.118,52.92379,2423.316,24.88757,560.5057,14.1564,622.5362,14.2858,936.6728,12.69097,2825.221,38.27885,971.1312,32.12457,1248.538,33.28057
604,494,52079,0.175201,0,46.25861,4.001926,622.4055,7.91821,178.91,6.035356,39.53302,3.53159,24.88564,4.189203,109.574,2.218949,330.5006,6.692855,99.39915,7.993169,54.6669,7.887858
605,175,52353,0.07529317,0,26.53227,4.882324,976.7116,11.21146,307.9731,7.083563,119.7638,5.325092,111.6936,6.074198,209.4259,3.186019,631.6768,9.609759,80.71391,8.92256,97.54166,9.163805
672,601,52172,0.163946,0,27.77039,3.989691,857.8452,9.89467,271.2084,6.411035,56.33276,4.419625,65.0712,3.886303,98.95711,2.244229,298.4775,6.769104,114.953,8.192645,73.69606,8.143812
812,278,52352,0.2455552,0,18.50492,3.048288,1048.558,8.897474,335.2328,4.980585,77.6263,4.801493,65.80887,5.010994,113.9709,1.825878,343.7625,5.507262,124.9636,5.46927,112.6442,5.524941
888,388,52339,0.1469548,0,29.38502,2.856057,421.803,5.362945,131.2709,4.071393,69.17903,2.881795,70.71928,4.246962,78.7383,1.17863,237.4929,3.555018,146.8169,6.683718,42.8592,5.762363
956,547,52401,0.190127,0,13.90203,2.57944,246.6783,4.162311,84.34955,3.837377,36.40048,5.150843,27.23713,3.289687,45.67853,1.261852,137.777,3.806032,29.15025,4.313021,37.76826,4.56881
1171,11,52753,0.08313686,0,40.08574,5.813825,1512.878,13.9395,475.4343,8.262601,178.3847,5.977127,205.8729,5.672714,343.0834,2.993003,1034.819,9.027578,261.0945,15.17105,221.0998,14.67702
1171,138,52753,0.02850778,0,60.30345,7.080814,527.7343,10.43624,132.9672,7.399532,62.43304,6.57068,56.2112,6.592463,114.9807,4.384061,346.8083,13.22333,84.83195,13.58376,79.38177,13.9318
1171,166,52753,0.03780079,0,60.2609,5.542258,1106.057,12.19086,336.4091,7.362169,128.2915,5.589695,111.1539,5.504702,185.7192,3.473007,560.1721,10.47538,133.4602,11.94031,64.59074,11.62321
1331,275,52766,0.1201519,0,27.18454,4.503937,1213.749,11.05587,384.447,7.061551,138.1705,6.064298,138.0095,5.584302,156.1757,2.743372,471.062,8.274636,98.19023,15.32728,338.367,16.17927
1331,519,52766,0.1266822,0,33.17146,5.570981,636.7524,9.34064,162.0231,6.806594,149.0125,6.53172,149.4363,6.343687,341.0261,3.953045,1028.613,11.92328,159.3489,11.51392,108.4589,11.3682
1332,53,52781,0.2289108,0,16.2659,3.105779,704.8506,7.121347,224.8582,4.259944,38.51438,3.27164,32.27082,3.315455,43.89373,1.409062,132.3936,4.250051,93.37884,5.653894,79.13206,5.814893
1572,562,53177,0.05942016,0,42.58409,5.799588,1509.68,14.33415,469.373,8.72923,170.0974,6.396051,176.7284,6.481291,297.9857,3.573678,898.7937,10.77903,163.7945,10.51364,162.5256,10.94724
1706,28,53442,0.1570482,0,20.18121,3.050143,243.1257,5.270558,68.76894,3.809517,24.53753,3.260154,24.0015,3.13462,34.41745,1.551593,103.811,4.679959,35.65664,5.338355,44.99698,5.256569
1841,203,53491,0.05510139,0,43.89259,5.978246,1633.154,17.68978,535.7502,9.328502,225.7698,7.216965,203.1819,7.03155,397.1337,4.180658,1197.847,12.60982,242.2204,12.05522,200.6346,13.97722
1841,584,53491,0.09384374,0,20.70592,3.995433,612.3632,7.618415,182.1282,5.15851,281.0238,6.544733,235.928,6.280852,546.876,3.979297,1649.504,12.00246,184.233,8.644202,112.4592,8.512351
2519,229,54570,0.09636921,0,67.60713,5.654646,739.136,10.05958,218.1491,7.103557,62.56432,6.389611,80.01634,5.928107,242.1395,4.30704,730.3486,12.99101,87.69641,12.25776,91.38429,12.67991
2520,72,54584,0.1027463,0,54.52746,3.828703,1915.282,9.339376,591.623,5.422306,186.6122,3.54859,163.3336,3.257301,313.1429,2.276524,944.5111,6.866515,226.6615,8.644794,137.0577,8.845599
2520,392,54584,0.1969672,0,16.87266,2.065358,435.3605,3.314197,134.7228,2.806356,44.80627,2.010375,32.00982,1.995887,64.02699,1.026986,193.1202,3.097623,62.3032,3.068223,43.66088,2.911918
2522,62,54570,0.1822992,0,12.03513,2.113296,121.6005,3.190236,37.56093,2.836457,26.20724,2.174473,20.35962,2.166355,24.0285,0.9565262,72.47551,2.885101,38.47935,3.520087,34.29152,3.454167
2523,19,54572,0.2097162,0,17.48803,3.330579,759.2565,6.190663,225.6952,4.424583,81.57614,3.826834,93.00224,4.029142,155.4306,2.278339,468.8147,6.87199,122.1053,7.760946,70.00545,7.58182
2524,38,54568,0.3589991,0,60.00924,2.905985,1406.373,9.464612,452.1393,4.213301,34.86472,4.648166,38.79777,4.264907,61.77279,2.011448,186.321,6.066986,119.5713,4.934341,128.6169,5.049326
2524,64,54568,0.2089835,0,42.12905,3.823411,958.5843,7.968981,261.5936,4.765452,75.81059,3.751605,69.22053,3.771972,176.9955,2.960543,533.8594,8.929672,145.5564,7.333452,102.8184,7.199046
2525,532,54569,0.03339824,0,126.3954,9.862763,3398.657,27.24876,1031.868,15.71011,153.0342,10.82016,190.4565,10.82297,754.2918,9.511876,2275.118,28.68999,213.1072,17.21122,148.5098,17.29686
485,16,51909,0.09561168,0,59.995,4.362315,2927.166,18.69094,958.1691,9.616298,298.5305,6.582114,297.5112,6.770321,295.2104,2.866425,890.4226,8.645791,528.4171,19.04607,516.9349,19.41736
551,167,51993,0.09570556,0,15.77613,2.921119,683.0079,5.935891,221.6766,3.83142,101.9142,3.522368,84.07073,3.306933,89.90423,1.160449,271.1719,3.500177,69.6981,8.218458,137.3143,8.519544
551,471,51993,0.1821156,0,51.79283,2.911489,634.5927,5.259948,195.3388,4.209317,64.42701,3.070727,55.53994,3.054014,76.41379,1.476339,230.4816,4.452975,109.9085,5.327864,90.93913,5.238518
894,34,52615,0.207782,0,16.98821,2.817991,1171.113,7.665145,379.7181,4.476121,144.2693,4.450696,128.8728,4.238396,206.899,2.225144,624.0553,6.711541,53.84104,5.613035,145.7905,6.372518
961,168,52615,0.09311035,0,38.43755,3.297399,369.4625,5.696523,105.672,3.841446,39.34812,4.090548,33.71863,3.497615,74.56194,1.667087,224.896,5.028315,35.13304,6.133484,52.9698,6.307035
1172,391,52759,0.070516,0,34.68439,6.022181,1683.642,15.55999,559.1918,9.356967,196.9217,6.341237,214.2367,6.447432,280.0569,3.210337,844.7164,9.683105,272.2815,12.9824,238.3284,13.05344
1263,75,52708,0.2623491,0,25.75908,5.004181,356.6362,6.024404,84.56094,4.723583,56.66107,5.619082,52.42527,6.963976,127.522,3.089543,384.6357,9.318766,87.47193,9.870248,66.02449,9.606517
1329,149,52767,0.1639493,0,17.64109,2.755674,382.2062,6.086085,121.5703,4.355045,23.33442,3.495434,25.75246,2.526384,43.87773,1.186612,132.3454,3.579091,56.02473,4.741632,53.81985,4.624602
1567,491,53172,0.17693,0,40.0397,5.401992,1043.868,11.0585,325.1646,8.102887,54.79338,5.760895,67.64116,6.640487,256.4779,4.147956,773.5967,12.51118,97.46673,9.862919,90.11802,9.875213
1702,353,53144,0.3247702,0,178.4247,7.702829,1775.412,11.97248,447.8984,7.06465,98.37433,13.05212,73.79511,14.05725,462.1809,6.833857,1394.044,20.61247,148.6006,15.30075,199.4084,15.34888
1970,461,53386,0.1131246,0,21.43311,3.625718,162.3404,6.679256,36.36754,3.892791,23.55917,4.036451,22.86878,3.507956,78.43107,2.155312,236.5662,6.500912,70.81026,6.855863,38.88088,6.682878
1971,348,53472,0.2425624,0,185.0482,7.462326,1359.964,12.89878,363.2671,8.47318,102.0518,12.44606,113.6541,10.14313,339.3376,5.979543,1023.52,18.03566,213.4709,15.79943,176.4353,15.6307
2110,633,53467,0.2353901,0,24.34967,2.942554,739.0302,7.017809,233.4468,4.02578,44.27344,5.582527,34.06534,4.047741,39.51834,1.564963,119.1964,4.720284,107.7421,6.777602,126.7102,6.948467
